Date,casual,registered
01/01/2011 00:00:00,3,13
01/01/2011 01:00:00,8,32
01/01/2011 02:00:00,5,27
01/01/2011 03:00:00,3,10
01/01/2011 04:00:00,0,1
01/01/2011 05:00:00,0,1
01/01/2011 06:00:00,2,0
01/01/2011 07:00:00,1,2
01/01/2011 08:00:00,1,7
01/01/2011 09:00:00,8,6
01/01/2011 10:00:00,12,24
01/01/2011 11:00:00,26,30
01/01/2011 12:00:00,29,55
01/01/2011 13:00:00,47,47
01/01/2011 14:00:00,35,71
01/01/2011 15:00:00,40,70
01/01/2011 16:00:00,41,52
01/01/2011 17:00:00,15,52
01/01/2011 18:00:00,9,26
01/01/2011 19:00:00,6,31
01/01/2011 20:00:00,11,25
01/01/2011 21:00:00,3,31
01/01/2011 22:00:00,11,17
01/01/2011 23:00:00,15,24
01/02/2011 00:00:00,4,13
01/02/2011 01:00:00,1,16
01/02/2011 02:00:00,1,8
01/02/2011 03:00:00,2,4
01/02/2011 04:00:00,2,1
01/02/2011 05:00:00,0,2
01/02/2011 06:00:00,0,1
01/02/2011 07:00:00,0,8
01/02/2011 08:00:00,1,19
01/02/2011 09:00:00,7,46
01/02/2011 10:00:00,16,54
01/02/2011 11:00:00,20,73
01/02/2011 12:00:00,11,64
01/02/2011 13:00:00,4,55
01/02/2011 14:00:00,19,55
01/02/2011 15:00:00,9,67
01/02/2011 16:00:00,7,58
01/02/2011 17:00:00,10,43
01/02/2011 18:00:00,1,29
01/02/2011 19:00:00,5,17
01/02/2011 20:00:00,11,20
01/02/2011 21:00:00,0,9
01/02/2011 22:00:00,0,8
01/03/2011 23:00:00,0,5
01/03/2011 00:00:00,0,2
01/03/2011 01:00:00,0,1
01/03/2011 02:00:00,0,3
01/03/2011 03:00:00,0,30
01/03/2011 04:00:00,1,63
01/03/2011 05:00:00,1,153
01/03/2011 06:00:00,7,81
01/03/2011 07:00:00,11,33
01/03/2011 08:00:00,10,41
01/03/2011 09:00:00,13,48
01/03/2011 10:00:00,8,53
01/03/2011 11:00:00,11,66
01/03/2011 12:00:00,14,58
01/03/2011 13:00:00,9,67
01/03/2011 14:00:00,11,146
01/03/2011 15:00:00,9,148
01/03/2011 16:00:00,8,102
01/03/2011 17:00:00,3,49
01/03/2011 18:00:00,3,49
01/03/2011 19:00:00,0,20
01/03/2011 20:00:00,1,11
01/04/2011 21:00:00,0,5
01/04/2011 22:00:00,0,2
01/04/2011 23:00:00,0,1
01/04/2011 00:00:00,0,2
01/04/2011 01:00:00,0,4
01/04/2011 02:00:00,0,36
01/04/2011 03:00:00,2,92
01/04/2011 04:00:00,2,177
01/04/2011 05:00:00,2,98
01/04/2011 06:00:00,5,37
01/04/2011 07:00:00,7,50
01/04/2011 08:00:00,12,66
01/04/2011 09:00:00,18,79
01/04/2011 10:00:00,9,54
01/04/2011 11:00:00,17,48
01/04/2011 12:00:00,15,68
01/04/2011 13:00:00,10,202
01/04/2011 14:00:00,3,179
01/04/2011 15:00:00,2,110
01/04/2011 16:00:00,1,53
01/04/2011 17:00:00,0,48
01/04/2011 18:00:00,1,34
01/04/2011 19:00:00,2,9
01/05/2011 20:00:00,0,6
01/05/2011 21:00:00,0,6
01/05/2011 22:00:00,0,2
01/05/2011 23:00:00,0,2
01/05/2011 00:00:00,0,3
01/05/2011 01:00:00,0,33
01/05/2011 02:00:00,1,87
01/05/2011 03:00:00,3,192
01/05/2011 04:00:00,6,109
01/05/2011 05:00:00,4,53
01/05/2011 06:00:00,12,34
01/05/2011 07:00:00,5,74
01/05/2011 08:00:00,6,65
01/05/2011 09:00:00,10,52
01/05/2011 10:00:00,7,55
01/05/2011 11:00:00,4,85
01/05/2011 12:00:00,4,186
01/05/2011 13:00:00,3,166
01/05/2011 14:00:00,5,127
01/05/2011 15:00:00,7,82
01/05/2011 16:00:00,3,40
01/05/2011 17:00:00,1,41
01/05/2011 18:00:00,1,18
01/06/2011 19:00:00,0,11
01/06/2011 20:00:00,0,4
01/06/2011 21:00:00,0,2
01/06/2011 22:00:00,0,1
01/06/2011 23:00:00,0,4
01/06/2011 00:00:00,0,36
01/06/2011 01:00:00,0,95
01/06/2011 02:00:00,3,216
01/06/2011 03:00:00,6,116
01/06/2011 04:00:00,3,42
01/06/2011 05:00:00,2,57
01/06/2011 06:00:00,6,78
01/06/2011 07:00:00,12,55
01/06/2011 08:00:00,11,59
01/06/2011 09:00:00,8,54
01/06/2011 10:00:00,12,74
01/06/2011 11:00:00,9,163
01/06/2011 12:00:00,5,158
01/06/2011 13:00:00,3,109
01/06/2011 14:00:00,3,66
01/06/2011 15:00:00,0,48
01/06/2011 16:00:00,1,51
01/06/2011 17:00:00,4,19
01/07/2011 18:00:00,4,13
01/07/2011 19:00:00,2,5
01/07/2011 20:00:00,0,1
01/07/2011 21:00:00,0,1
01/07/2011 22:00:00,0,5
01/07/2011 23:00:00,8,26
01/07/2011 00:00:00,8,76
01/07/2011 01:00:00,20,190
01/07/2011 02:00:00,9,125
01/07/2011 03:00:00,16,47
01/07/2011 04:00:00,19,48
01/07/2011 05:00:00,9,50
01/07/2011 06:00:00,9,64
01/07/2011 07:00:00,7,43
01/07/2011 08:00:00,9,63
01/07/2011 09:00:00,5,82
01/07/2011 10:00:00,9,178
01/07/2011 11:00:00,7,116
