LEAID,LEA_NAME,FTE_TEACHERS_FIN,TEACH_AMOUNT,AVG_TEACH_SALARY,Incomplete,SCHID,SCH_NAME,SCH_ADDRESS,SCH_CITY,SCH_STATE,SCH_ZIP 
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,13,912510,70193,,20,SHAW MS AT GARNET-PATTERSON,2001 10TH ST  NW,WASHINGTON,DC,20001
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,26,2035595,78292,,24,SEATON ES,1503 10TH ST  NW,WASHINGTON,DC,20001
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,38.05,2573217,67627,,70,WALKER-JONES EC,1125 New Jersey Avenue NW,WASHINGTON,DC,20001
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,49,3507054,71573,,79,DUNBAR SHS,1301 NEW JERSEY AVE NW,WASHINGTON,DC,20001
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,24,2129980,88749,,103,CLEVELAND ES,1825 8TH ST  NW,WASHINGTON,DC,20001
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,29.5,2373774,80467,,153,BENJAMIN BANNEKER SHS,800 EUCLID ST  NW,WASHINGTON,DC,20001
1100031,KIPP DC,25,1557166,62287,,376,KIPP DC WILL ACADEMY PCS,421 P ST  NW,WASHINGTON,DC,20001
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,15.74,992738,63071,,397,WASHINGTON METROPOLITAN HS,300 Bryant Street NW,WASHINGTON,DC,20001
1100007,COMMUNITY ACADEMY PCS,35,1778406,50812,,398,COMMUNITY ACADEMY PCS - AMOS III CAMPUS,"1400 1st Street, NW",WASHINGTON,DC,20001
1100073,CENTER CITY PCS,18,1454024,80779,,404,CENTER CITY SHAW CAMPUS PCS,711 N STREET NW,WASHINGTON,DC,20001
1100031,KIPP DC,20,1076976,53849,,432,KIPP DC GROW ACADEMY PCS,421 P STREET NW,WASHINGTON,DC,20001
Subtotal,,,," $767,699.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,40.25,3271418,81277,,4,MINER ES,601 15TH ST  NE,WASHINGTON,DC,20002
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,24,1770399,73767,,34,MAURY ES,1250 CONSTITUTION AVE NE,WASHINGTON,DC,20002
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,24,1792534,74689,,37,LUDLOW-TAYLOR ES,659 G ST  NE,WASHINGTON,DC,20002
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,34,2732393,80365,,62,"WILSON, J.O. ES",660 K ST  NE,WASHINGTON,DC,20002
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,32,2204264,68883,,68,WHEATLEY EC,1299 Neal Street  NE,WASHINGTON,DC,20002
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,17.75,1693405,95403,,92,PROSPECT LC,920 F ST  NE,WASHINGTON,DC,20002
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,37.5,3005639,80150,,130,SPINGARN SHS,2500 BENNING RD NE,WASHINGTON,DC,20002
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,23.5,1668793,71012,,151,ELIOT-HINE MS,1830 CONSTITUTION AVE NE,WASHINGTON,DC,20002
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,29,2312135,79729,,152,BROWNE EC,850 26TH ST  NE,WASHINGTON,DC,20002
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,11,911265,82842,,156,PEABODY ES (CAPITOL HILL CLUSTER),425 C ST NE,WASHINGTON,DC,20002
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,25,2002197,80088,,191,STUART-HOBSON MS,410 E ST NE,WASHINGTON,DC,20002
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,6,350509,58418,,200,SPINGARN STAY,2500 BENNING RD NE,WASHINGTON,DC,20002
1100018,OPTIONS PCS,76,3879436,51045,,232,OPTIONS PCS,1375 E STREET NE,WASHINGTON,DC,20002
1100026,WASHINGTON MATH SCIENCE PCS,33.5,2145665,64050,,240,WASHINGTON MATH SCIENCE TECH PCS,1920 BLADENSHURG RD NE,WASHINGTON,DC,20002
