LEA_STATE,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,FTE_ABSENT,Incomplete
DC,1100001,ARTS AND TECHNOLOGY PCS,215,ARTS AND TECHNOLOGY PCS,1.10E+11,,7,
DC,1100003,BOOKER T. WASHINGTON PCS,217,BOOKER T  WASHINGTON PCS,1.10E+11,,4,
DC,1100007,COMMUNITY ACADEMY PCS,221,COMMUNITY ACADEMY PCS - AMOS I CAMPUS,1.10E+11,,2,
DC,1100007,COMMUNITY ACADEMY PCS,353,COMMUNITY ACADEMY PCS - AMOS II CAMPUS,1.10E+11,,0,
DC,1100007,COMMUNITY ACADEMY PCS,361,COMMUNITY ACADEMY PCS - RAND CAMPUS,1.10E+11,,5,
DC,1100007,COMMUNITY ACADEMY PCS,370,COMMUNITY ACADEMY PCS - BUTLER CAMPUS,1.10E+11,,1,
DC,1100007,COMMUNITY ACADEMY PCS,380,COMMUNITY ACADEMY PCS - ONLINE,1.10E+11,,0,
DC,1100007,COMMUNITY ACADEMY PCS,398,COMMUNITY ACADEMY PCS - AMOS III CAMPUS,1.10E+11,,5,
DC,1100008,FRIENDSHIP PCS,222,FRIENDSHIP PCS CHAMBERLAIN,1.10E+11,,11,
DC,1100008,FRIENDSHIP PCS,323,FRIENDSHIP PCS BLOW PIERCE,1.10E+11,,18,
DC,1100008,FRIENDSHIP PCS,338,FRIENDSHIP PCS WOODSON COLLEGIATE CAMPUS,1.10E+11,,23,
DC,1100008,FRIENDSHIP PCS,341,FRIENDSHIP PCS WOODRIDGE CAMPUS,1.10E+11,,11,
DC,1100008,FRIENDSHIP PCS,382,FRIENDSHIP PCS SOUTHEAST ACADEMY,1.10E+11,,3,
DC,1100008,FRIENDSHIP PCS,422,FRIENDSHIP PCS TECH PREP,1.10E+11,,0,
DC,1100009,ELSIE WHITLOW STOKES COMMUNTIY FREEDOM PCS,223,ELSIE WHITLOW STOKES COMMUNTIY FREEDOM PCS,1.10E+11,,2,
DC,1100010,HOSPITALITY PCS,224,HOSPITALITY PCS,1.10E+11,,1,
DC,1100011,PERRY STREET PREPARATORY PCS (FORMERLY HYDE LPCS),225,PERRY STREET PREPARATORY PCS (FORMERLY HYDE LPCS),1.10E+11,,4,
DC,1100012,IDEAL ACADEMY PCS,401,IDEAL ACADEMY PCS   NORTH CAPITOL STREET CAMPUS ES,1.10E+11,,0,B
DC,1100013,INTEGRATED DESIGN ELECTRONICS ACADEMY (IDEA),227,INTEGRATED DESIGN ELECTRONICS ACADEMY IDEA PCS,1.10E+11,,1,
DC,1100014,MAYA ANGELOU PCS,391,MAYA ANGELOU   EVANS CAMPUS PCS,1.10E+11,,19,
DC,1100014,MAYA ANGELOU PCS,392,MAYA ANGELOU   MIDDLE CAMPUS PCS,1.10E+11,,4,
DC,1100015,MERIDIAN PCS,229,MERIDIAN PCS,1.10E+11,,2,
DC,1100016,EDUCATION STRENGHTENS FAMILIES PCS,333,EDUCATION STRENGTHENS FAMILIES ESF PCS,1.10E+11,,0,
